[INFO]: No checkpoint found, start to train a new model...
[STATE]: Oberve, [FRAMES]: 1, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 2, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 3, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 4, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 5, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 6, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 7, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 8, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 9, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 10, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 11, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 12, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 13, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 14, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 15, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 16, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 17, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 18, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 19, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 20, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 21, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 22, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 23, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 24, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 25, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 26, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 27, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 28, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 29, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 30, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 31, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 32, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 33, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 34, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 35, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 36, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 37, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 38, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 39, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 40, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 41, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 42, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 43, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 44, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 45, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 46, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 47, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 48, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 49, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 50, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 51, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 52, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 53, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 54, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 55, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 56, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 57, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 58, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 59, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 60, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 61, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 62, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 63, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 64, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 65, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 66, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 67, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 68, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 69, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 70, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 71, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 72, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 73, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 74, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 75, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 76, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 77, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 78, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 79, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 80, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 81, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 82, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 83, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 84, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 85, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 86, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 87, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 88, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 89, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 90, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 91, [GAMES]: 0, [WINS]: 0...
[STATE]: Oberve, [FRAMES]: 92, [GAMES]: 0, [WINS]: 0...
